desertionNo,kindNm,age,sexCd,neuterYn,specialMark,careNm,careAddr,careTel,processState,age_group,species,mbti_label,filename
427552945349732.0,한국 고양이,2019(년생),M,N,영리하고 훈련 능력이 뛰어남. 사람을 좋아하고 자신감이 있음.,경기도 의정부 동물보호센터,경기도 의정부시 금오동 산56-1,031-829-5481,보호중,성체,cat,ENTJ,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/03/153530532562488880.jpg
479261671965263.0,한국 고양이,2024(년생),M,N,활발하고 탐색하기를 좋아함. 낯선 환경도 잘 적응함.,충청북도 동물보호센터,충청북도 청주시 흥덕구 오송읍 오송생명로 187,043-220-5361,보호중,성체,cat,ENTP,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/03/669803273996662909[4].jpg
477938198375331.0,허스키,2026(년생),M,Y,귀여운 새끼로 예민하고 낯선 사람을 경계함. 낯선 사람에게는 경계심이 강함.,경상북도 동물보호센터,경상북도 구미시 산동면 봉곡리 1,054-440-3690,종료(반환),새끼,dog,ISTJ,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/06/691711916557607489.jpg
435276672007342.0,한국 고양이,2026(년생),M,U,아직 작지만 감수성이 풍부하고 보호자에게 애착이 강함. 사람과 교감을 잘 함.,경기도 의정부 동물보호센터,경기도 의정부시 금오동 산56-1,031-829-5481,보호중,새끼,cat,ENTJ,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/03/077372954503801625.jpg
493321371209250.0,슈나우져,2026(년생),F,N,신중하고 분석적임. 천천히 적응하며 마음을 열어감.,남해군동물보호센터,경상남도 남해군 이동면 남해대로 2449,055-860-3974,보호중,새끼,dog,INTP,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/744506871848170178.jpg
469230218333518.0,비숑프리제,2026(년생),M,N,어린 나이에도 조용하고 배려심이 깊음. 천천히 적응함.,충청남도 동물보호센터,충청남도 천안시 동남구 성남면 화성리 65,041-573-0202,보호중,새끼,dog,ISFJ,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/01/921811268546231163[1].jpg
454679431554401.0,한국 고양이,2019(년생),F,N,조용하고 배려심이 깊음. 혼자 노는 것을 즐김.,충청남도 동물보호센터,충청남도 천안시 동남구 성남면 화성리 65,041-573-0202,보호중,성체,cat,ISFJ,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/06/460110854316527438.jpg
449875368067435.0,허스키,2013(년생),F,Y,고령이지만 신중하고 경계심이 있음. 믿을 수 있는 환경에서 안정을 찾음.,광주광역시 동물보호센터,광주광역시 광산구 삼거동 862,062-613-7651,종료(반환),노령,dog,ISTJ,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/04/977262428301358916.jpg
441245376724238.0,치와와,2026(년생),M,Y,아직 작지만 활동적이고 명랑함. 보호자와 함께하는 것을 좋아함.,충청남도 동물보호센터,충청남도 천안시 동남구 성남면 화성리 65,041-573-0202,종료(반환),새끼,dog,ENFP,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/653287101226916697.jpg
480123039239014.0,아비시니안,2020(년생),F,Y,낯선 사람을 경계하나 익숙해지면 애교가 많음. 조용히 곁에 있는 것을 좋아함.,광주광역시 동물보호센터,광주광역시 광산구 삼거동 862,062-613-7651,종료(반환),성체,cat,ISFP,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/272673895620678122.jpg
474395910229014.0,비글,2026(년생),M,Y,아직 작지만 활기차고 표현력이 풍부함. 누구와도 잘 어울림.,경기도 동물보호센터,경기도 수원시 권선구 오목천동 520,031-220-7471,종료(반환),새끼,dog,ENFP,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/03/764381561497840369[2].jpg
482455194001129.0,포메라니안,2026(년생),F,Y,귀여운 새끼로 활발하고 탐색하기를 좋아함. 지적 자극을 즐김.,서울특별시 동물보호센터,서울특별시 마포구 상암동 481-6,02-304-8308,보호중,새끼,dog,ENTP,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/04/818741465663707043.jpg
481751469845830.0,시츄,2021(년생),F,N,전략적이고 독립심이 강함. 한 번 마음을 열면 충실함.,함양군 동물보호센터,경상남도 함양군 함양읍 함양남서로 996-76,055-960-8143,보호중,성체,dog,INTJ,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/06/302550540844914531[3].jpg
446441197096273.0,한국 고양이,2011(년생),Q,Y,노령임에도 새로운 것에 흥미를 보이고 활발함. 지적 자극을 즐김.,서울특별시 동물보호센터,서울특별시 마포구 상암동 481-6,02-304-8308,보호중,노령,cat,ENTP,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/06/499284267861784054.jpg
484844714575190.0,치와와,2026(년생),F,Y,믿음직하고 낯선 것을 경계함. 자기만의 규칙을 지킴.,부산광역시 동물보호센터,부산광역시 강서구 대저2동 2167,051-971-1578,보호중,새끼,dog,ISTJ,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/02/488842473705931073.jpg
401833711072985.0,비글,2010(년생),F,N,총명하고 적응력이 뛰어남. 사람과 교감을 잘 함.,대전광역시 동물보호센터,대전광역시 유성구 외삼동 540,042-270-0971,종료(반환),노령,dog,ENTJ,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/03/050667148533317147.jpg
449130712744171.0,스코티시폴드,2026(년생),M,Y,아직 작지만 에너지 넘치고 순함. 행동력이 뛰어남.,충청남도 동물보호센터,충청남도 천안시 동남구 성남면 화성리 65,041-573-0202,보호중,새끼,cat,ESTP,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/369555095251213018.jpg
468640683146762.0,슈나우져,2026(년생),M,U,아직 어리지만 대담하고 순함. 행동력이 뛰어남.,전라북도 동물보호센터,전라북도 전주시 완산구 동서학동 894-11,063-278-0201,보호중,새끼,dog,ESTP,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/02/025767639548464316.jpg
469453061165330.0,골든 리트리버,2026(60일미만)(년생),F,Y,아직 어리지만 현실적이고 조용함. 독립적으로 행동함.,충청북도 동물보호센터,충청북도 청주시 흥덕구 오송읍 오송생명로 187,043-220-5361,보호중,새끼,dog,ISTP,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/02/054883732031966012.jpg
403834325989941.0,기타,2026(60일미만)(년생),M,N,호기심 왕성한 새끼로 자연스럽고 섬세함. 자기만의 공간을 좋아함.,부산광역시 동물보호센터,부산광역시 강서구 대저2동 2167,051-971-1578,보호중,새끼,cat,ISFP,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/02/745824704396338206.jpg
421765914448798.0,믹스묘,2020(년생),F,N,믿음직하고 낯선 것을 경계함. 혼자만의 공간을 선호함.,충청북도 동물보호센터,충청북도 청주시 흥덕구 오송읍 오송생명로 187,043-220-5361,보호중,성체,cat,ISTJ,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/454856009537410546.jpg
429083483360278.0,브리티쉬숏헤어,2023(년생),F,N,신중하고 분석적임. 자기 방식대로 탐색함.,충청북도 동물보호센터,충청북도 청주시 흥덕구 오송읍 오송생명로 187,043-220-5361,보호중,성체,cat,INTP,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/06/452716670639123716.jpg
426248129237870.0,푸들,2026(년생),F,Y,아직 작지만 충성심이 강하고 주인에게 헌신적임. 안정적인 환경을 선호함.,전라북도 동물보호센터,전라북도 전주시 완산구 동서학동 894-11,063-278-0201,종료(반환),새끼,dog,ISTJ,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/04/864652828003148293.jpg
484265134827676.0,보더콜리,2026(년생),M,Y,아직 작지만 생동감 넘치고 장난스러움. 주변을 즐겁게 만듦.,강원도 동물보호센터,강원도 원주시 문막읍 건등리 391,033-749-3435,보호중,새끼,dog,ESFP,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/02/417070963976407829.jpg
495673213608060.0,스코티시폴드,2023(년생),M,N,상냥하고 사람을 잘 따름. 주변 사람에게 헌신적임.,충청북도 동물보호센터,충청북도 청주시 흥덕구 오송읍 오송생명로 187,043-220-5361,종료(자연사),성체,cat,ESFJ,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/06/174274489988168834.jpg
443145049823610.0,요크셔테리어,2023(년생),F,Y,안정적이고 내성적임. 천천히 신뢰를 쌓으면 잘 따름.,서울특별시 동물보호센터,서울특별시 마포구 상암동 481-6,02-304-8308,종료(반환),성체,dog,ISFJ,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/02/665324813834428057.jpg
463612435113190.0,브리티쉬숏헤어,2026(년생),M,N,호기심 왕성한 새끼로 활발하고 애교가 많음. 사람과 잘 어울림.,울산광역시 동물보호센터,울산광역시 북구 호계동 산4-1,052-229-8131,보호중,새끼,cat,ESFP,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/01/043738178372704472.jpg
490855307853185.0,러시안블루,2026(60일미만)(년생),M,Y,호기심 왕성한 새끼로 차분하고 사람을 잘 따름. 안정적인 환경을 좋아함.,부산광역시 동물보호센터,부산광역시 강서구 대저2동 2167,051-971-1578,보호중,새끼,cat,ESTJ,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/01/609964654962731872.jpg
467575487863824.0,치와와,2026(년생),M,N,아직 어리지만 헌신적이고 다정함. 함께 있는 것을 좋아함.,경상북도 동물보호센터,경상북도 구미시 산동면 봉곡리 1,054-440-3690,보호중,새끼,dog,ESFJ,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/03/685513127731528159.jpg
419895470272280.0,보더콜리,2026(60일미만)(년생),F,N,호기심 왕성한 새끼로 감성적이고 온화함. 자신만의 방식으로 애정을 표현함.,울산광역시 동물보호센터,울산광역시 북구 호계동 산4-1,052-229-8131,보호중,새끼,dog,ISFP,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/692116759638167374[3].jpg
497470231164552.0,러시안블루,2019(년생),M,Y,탐구적이고 내성적임. 호기심은 많으나 신중히 행동함.,울산광역시 동물보호센터,울산광역시 북구 호계동 산4-1,052-229-8131,보호중,성체,cat,INTP,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/01/326619984044846369.jpg
480429438808591.0,비글,2026(년생),F,Y,어린 나이에도 책임감 있고 온순함. 책임감이 강함.,전라남도 동물보호센터,전라남도 무안군 삼향면 남악3로 38,061-286-6861,종료(반환),새끼,dog,ESTJ,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/02/367051112169510058.jpg
405687064400872.0,믹스묘,2024(년생),F,Y,건강하고 자연스럽고 순함. 새로운 만남을 즐김.,광주광역시 동물보호센터,광주광역시 광산구 삼거동 862,062-613-7651,보호중,성체,cat,ESTP,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/270294398091939441.jpg
490172792129591.0,래브라도 리트리버,2022(년생),M,N,온순하고 느긋한 성격. 주변 사람에게 헌신적임.,전라남도 동물보호센터,전라남도 무안군 삼향면 남악3로 38,061-286-6861,종료(안락사),성체,dog,ESFJ,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/01/998989052152574192[5].jpg
424013315770733.0,래브라도 리트리버,2026(년생),F,U,아직 작지만 온순하고 사람을 잘 따름. 밝고 친화적임.,경상남도 동물보호센터,경상남도 진주시 가좌동 936,055-254-4151,보호중,새끼,dog,ESFJ,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/02/287291310316309840.jpg
454252255119420.0,비숑프리제,2024(년생),Q,Y,실용적이고 차분함. 혼자만의 공간을 선호함.,충청북도 동물보호센터,충청북도 청주시 흥덕구 오송읍 오송생명로 187,043-220-5361,보호중,성체,dog,ISTP,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/04/715616653727841512[5].jpg
493872583576947.0,스코티시폴드,2026(60일미만)(년생),F,N,탐구심 왕성한 새끼로 조용하고 관찰하는 것을 좋아함. 한 번 마음을 열면 충실함.,경상북도 동물보호센터,경상북도 구미시 산동면 봉곡리 1,054-440-3690,보호중,새끼,cat,INTP,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/02/056151273208713443[1].jpg
455625512968607.0,허스키,2013(년생),M,N,대담하고 순함. 새로운 만남을 즐김.,경기도 의정부 동물보호센터,경기도 의정부시 금오동 산56-1,031-829-5481,보호중,노령,dog,ESTP,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/04/750900253034828310.jpg
473098644229518.0,아비시니안,2022(년생),M,Y,대담하고 순함. 행동력이 뛰어남.,충청북도 동물보호센터,충청북도 청주시 흥덕구 오송읍 오송생명로 187,043-220-5361,종료(반환),성체,cat,ESTP,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/02/815376048296528471.jpg
406647492838229.0,슈나우져,2023(년생),F,Y,신중하고 분석적임. 천천히 적응하며 마음을 열어감.,전라북도 동물보호센터,전라북도 전주시 완산구 동서학동 894-11,063-278-0201,종료(안락사),성체,dog,INTP,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/06/299106992361953056.jpg
497652407762176.0,보더콜리,2026(년생),F,Y,탐구심 왕성한 새끼로 믿음직하고 온순함. 안정적인 환경을 좋아함.,대전광역시 동물보호센터,대전광역시 유성구 외삼동 540,042-270-0971,보호중,새끼,dog,ESTJ,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/01/894751977352252891.jpg
483152404546507.0,믹스견,2026(년생),M,Y,아직 작지만 순하고 사교적임. 행동력이 뛰어남.,대전광역시 동물보호센터,대전광역시 유성구 외삼동 540,042-270-0971,보호중,새끼,dog,ESTP,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/06/818957172336614398.jpg
412178717477332.0,기타,2023(년생),M,N,건강하고 사교적이고 명랑함. 주변을 즐겁게 만듦.,울산광역시 동물보호센터,울산광역시 북구 호계동 산4-1,052-229-8131,보호중,성체,cat,ENFP,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/04/255770171577245992.jpg
474989966623771.0,진도견,2019(년생),F,Y,조용하지만 따뜻함. 혼자 노는 것을 즐김.,서울특별시 동물보호센터,서울특별시 마포구 상암동 481-6,02-304-8308,보호중,성체,dog,ISFJ,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/06/970660337612395021.jpg
482021280993557.0,기타,2022(년생),M,Y,결단력 있고 독립적임. 신뢰 관계가 형성되면 헌신적임.,경기도 의정부 동물보호센터,경기도 의정부시 금오동 산56-1,031-829-5481,보호중,성체,dog,INTJ,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/06/530328909612642112.jpg
425204536133427.0,슈나우져,2019(년생),M,Y,조용하고 자기만의 방식을 고수함. 천천히 신뢰를 쌓으면 잘 따름.,충청북도 동물보호센터,충청북도 청주시 흥덕구 오송읍 오송생명로 187,043-220-5361,보호중,성체,dog,ISFP,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/628898326651562659.jpg
441104678902992.0,래브라도 리트리버,2019(년생),M,Y,활발한 성체로 겁이 많고 소심한 편. 친해지면 붙임성이 좋음.,대전광역시 동물보호센터,대전광역시 유성구 외삼동 540,042-270-0971,보호중,성체,dog,ISFP,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/04/487057914773726747.jpg
480736937192201.0,비숑프리제,2026(년생),F,Y,탐구심 왕성한 새끼로 신중하고 독창적임. 혼자 있는 것을 무서워함.,함양군 동물보호센터,경상남도 함양군 함양읍 함양남서로 996-76,055-960-8143,종료(반환),새끼,dog,INTJ,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/06/201252683154054888[2].jpg
469489782706000.0,스코티시폴드,2024(년생),M,Y,조용하고 배려심이 깊음. 배려심이 깊음.,함양군 동물보호센터,경상남도 함양군 함양읍 함양남서로 996-76,055-960-8143,보호중,성체,cat,ISFJ,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/06/292080272607424422.jpg
431336734699470.0,스피츠,2012(년생),M,N,나이가 들었지만 안정 지향적이고 온순함. 신뢰가 쌓이면 충실히 따름.,광주광역시 동물보호센터,광주광역시 광산구 삼거동 862,062-613-7651,종료(반환),노령,dog,ISFJ,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/03/477268217864038722.jpg
409076167870676.0,말티즈,2020(년생),M,Y,열정적이고 장난기 많음. 에너지가 넘치고 활동적임.,서울특별시 동물보호센터,서울특별시 마포구 상암동 481-6,02-304-8308,보호중,성체,dog,ENFP,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/02/237185921268485637[3].jpg
458285159120464.0,요크셔테리어,2026(60일미만)(년생),F,U,탐구심 왕성한 새끼로 온화하고 협조적임. 겁이 약간 있으나 금방 적응함.,충청남도 동물보호센터,충청남도 천안시 동남구 성남면 화성리 65,041-573-0202,종료(반환),새끼,dog,ESFJ,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/01/413974669934649057.jpg
448638767299115.0,비숑프리제,2026(60일미만)(년생),F,Y,귀여운 새끼로 영리하고 훈련 능력이 뛰어남. 환경 변화에 빠르게 적응함.,서울특별시 동물보호센터,서울특별시 마포구 상암동 481-6,02-304-8308,보호중,새끼,dog,ENTJ,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/01/431834369531029771.jpg
422037181883552.0,래브라도 리트리버,2020(년생),M,N,재기발랄하고 활발함. 새로운 만남을 즐김.,광주광역시 동물보호센터,광주광역시 광산구 삼거동 862,062-613-7651,보호중,성체,dog,ENFP,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/06/329212779979955271.jpg
454446754135455.0,기타,2024(년생),F,N,주체적이고 학습 능력이 뛰어남. 낯선 환경에도 호기심이 많음.,경상북도 동물보호센터,경상북도 구미시 산동면 봉곡리 1,054-440-3690,보호중,성체,cat,ENTJ,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/02/079077045530017314[4].jpg
444020083889951.0,보더콜리,2026(년생),F,Y,공상적이고 예민함. 익숙한 사람에게는 많은 애정을 줌.,경기도 동물보호센터,경기도 수원시 권선구 오목천동 520,031-220-7471,종료(반환),새끼,dog,INFP,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/03/074944847285814908.jpg
497370441924865.0,믹스견,2018(년생),F,N,규칙적이고 신뢰할 수 있음. 자기만의 규칙을 지킴.,제주특별자치도 동물보호센터,제주특별자치도 제주시 애월읍 광령리 2528-1,064-728-3672,종료(반환),노령,dog,ISTJ,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/06/111123651124005784.jpg
451999399241611.0,닥스훈트,2026(년생),M,N,자신감 있고 활동적임. 사람을 매우 좋아하고 붙임성이 있음.,전라북도 동물보호센터,전라북도 전주시 완산구 동서학동 894-11,063-278-0201,보호중,새끼,dog,ENTJ,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/02/627890880683112179.jpg
497690852632310.0,포메라니안,2026(년생),F,Y,탐구심 왕성한 새끼로 혁신적이고 호기심이 많음. 활발하게 행동함.,함양군 동물보호센터,경상남도 함양군 함양읍 함양남서로 996-76,055-960-8143,보호중,새끼,dog,ENTP,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/04/788462054201186682.jpg
463073995811075.0,아비시니안,2026(60일미만)(년생),M,N,탐구심 왕성한 새끼로 내면이 깊고 독립적임. 한 번 마음을 열면 충실함.,대전광역시 동물보호센터,대전광역시 유성구 외삼동 540,042-270-0971,보호중,새끼,cat,INTJ,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/06/280867334677830782.jpg
420712261213341.0,기타,2019(년생),M,Y,활발한 성체로 사람을 잘 따르고 온순함. 안정적인 환경을 좋아함.,광주광역시 동물보호센터,광주광역시 광산구 삼거동 862,062-613-7651,보호중,성체,dog,ESTJ,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/03/556516073261212766.jpg
498529257899202.0,러시안블루,2026(60일미만)(년생),M,N,호기심은 많으나 겁이 많음. 익숙한 사람에게는 많은 애정을 줌.,인천광역시 동물보호센터,인천광역시 남동구 구월동 1138,032-440-5961,보호중,새끼,cat,INFP,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/998862325281238278.jpg
459172456638077.0,한국 고양이,2021(년생),M,Y,활발한 성체로 조용하지만 따뜻함. 천천히 적응함.,서울특별시 동물보호센터,서울특별시 마포구 상암동 481-6,02-304-8308,종료(반환),성체,cat,ISFJ,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/02/358628516105474459.jpg
482780167445199.0,러시안블루,2023(년생),F,N,건강하고 조심스러운 편이고 소심함. 안전한 환경에서 잘 적응함.,대전광역시 동물보호센터,대전광역시 유성구 외삼동 540,042-270-0971,보호중,성체,cat,INFP,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/03/851858166869804766[3].jpg
496859890972832.0,기타,2019(년생),M,Y,활발한 성체로 열정적이고 장난기 많음. 새로운 만남을 즐김.,충청북도 동물보호센터,충청북도 청주시 흥덕구 오송읍 오송생명로 187,043-220-5361,보호중,성체,dog,ENFP,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/04/506762515381447443[5].jpg
493418287333953.0,허스키,2026(년생),F,N,호기심 왕성한 새끼로 낯선 사람을 경계하나 익숙해지면 애교가 많음. 자기만의 공간을 좋아함.,남해군동물보호센터,경상남도 남해군 이동면 남해대로 2449,055-860-3974,보호중,새끼,dog,ISFP,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/03/162495000861126096.jpg
403821735900740.0,말티즈,2019(년생),M,N,즐거움을 추구하고 애교 많음. 활발하게 놀기를 즐김.,함양군 동물보호센터,경상남도 함양군 함양읍 함양남서로 996-76,055-960-8143,보호중,성체,dog,ESFP,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/666492758206366171.jpg
436267863987715.0,믹스묘,2016(년생),F,Y,나이가 들었지만 따뜻하고 배려심이 깊음. 사람과 함께 있는 것을 즐김.,제주특별자치도 동물보호센터,제주특별자치도 제주시 애월읍 광령리 2528-1,064-728-3672,보호중,노령,cat,ESFJ,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/02/018035672152409383.jpg
409267370251496.0,말티즈,2021(년생),F,U,현실적이고 조용함. 자기 방식대로 행동함.,충청남도 동물보호센터,충청남도 천안시 동남구 성남면 화성리 65,041-573-0202,종료(안락사),성체,dog,ISTP,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/03/167891992535604453.jpg
426465335255975.0,요크셔테리어,2024(년생),M,N,순하고 사교적임. 에너지가 넘침.,제주특별자치도 동물보호센터,제주특별자치도 제주시 애월읍 광령리 2528-1,064-728-3672,보호중,성체,dog,ESTP,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/04/199724909596028086.jpg
